Matric,Timeslot
A0208795N,FRI 9AM-10AM
A0210841U,THU 11AM-12PM
A0225809Y,THU 10AM-11AM
A0226485X,THU 2PM-3PM
A0231125X,THU 10AM-11AM
A0242274J,FRI 3PM-4PM
A0244763Y,FRI 2PM-3PM
A0245908W,THU 3PM-4PM
A0252901M,THU 10AM-11AM
A0264779H,THU 1PM-2PM
A0265832Y,THU 2PM-3PM
A0265888A,THU 1PM-2PM
A0269208X,FRI 12PM-1PM
A0270520U,THU 12PM-1PM
A0272074H,FRI 12PM-1PM
A0272123R,THU 2PM-3PM
A0273177X,THU 3PM-4PM
A0273206L,THU 2PM-3PM
A0273291A,THU 3PM-4PM
A0273532H,THU 2PM-3PM
A0276157W,THU 2PM-3PM
A0277373U,FRI 12PM-1PM
A0277988W,THU 12PM-1PM
A0278106A,THU 3PM-4PM
A0278124A,THU 2PM-3PM
A0281667R,FRI 3PM-4PM
A0281903E,THU 11AM-12PM
A0282336A,FRI 2PM-3PM
A0286456N,THU 10AM-11AM
A0287722W,FRI 1PM-2PM
A0287733R,THU 4PM-5PM
A0288518M,THU 11AM-12PM
A0288551U,THU 3PM-4PM
A0291585R,THU 12PM-1PM
A0291590Y,FRI 2PM-3PM
A0291595N,FRI 3PM-4PM
A0291597L,THU 1PM-2PM
A0291601M,THU 4PM-5PM
A0291603J,THU 9AM-10AM
A0291604H,THU 1PM-2PM
A0291623E,THU 11AM-12PM
A0291627X,THU 2PM-3PM
A0291628W,THU 9AM-10AM
A0291629U,FRI 10AM-11AM
A0291630J,THU 2PM-3PM
A0291632E,FRI 11AM-12PM
A0291633A,FRI 10AM-11AM
A0291707Y,THU 2PM-3PM
A0291708X,THU 2PM-3PM
A0291731E,THU 11AM-12PM
A0291732A,THU 10AM-11AM
A0291733B,THU 1PM-2PM
A0291743Y,THU 12PM-1PM
A0291769J,FRI 10AM-11AM
A0291772W,FRI 10AM-11AM
A0291773U,THU 4PM-5PM
A0291780X,FRI 2PM-3PM
A0291783R,FRI 12PM-1PM
A0291787J,THU 2PM-3PM
A0291874N,FRI 2PM-3PM
A0291879E,FRI 1PM-2PM
A0291895J,THU 1PM-2PM
A0291899B,THU 10AM-11AM
A0291902E,FRI 3PM-4PM
A0291976J,FRI 11AM-12PM
A0291978E,THU 12PM-1PM
A0291979A,FRI 1PM-2PM
A0291983M,FRI 1PM-2PM
A0291985J,THU 9AM-10AM
A0291986H,THU 1PM-2PM
A0291987E,FRI 1PM-2PM
A0292006M,THU 9AM-10AM
A0292009H,FRI 1PM-2PM
A0292013R,THU 9AM-10AM
A0292014N,THU 9AM-10AM
A0292017J,FRI 11AM-12PM
A0292018H,THU 9AM-10AM
A0292027H,THU 1PM-2PM
A0292030U,THU 11AM-12PM
A0292031R,FRI 1PM-2PM
A0292049Y,THU 10AM-11AM
A0292050N,THU 10AM-11AM
A0292052L,FRI 11AM-12PM
A0292055E,THU 11AM-12PM
A0292056A,THU 9AM-10AM
A0292060M,THU 12PM-1PM
A0292066B,THU 12PM-1PM
A0292067Y,FRI 11AM-12PM
A0292071J,THU 9AM-10AM
A0292080J,FRI 9AM-10AM
A0292095X,FRI 11AM-12PM
A0292106L,FRI 12PM-1PM
A0292107J,THU 2PM-3PM
A0292160L,FRI 9AM-10AM
A0292565U,FRI 1PM-2PM
A0292688H,THU 11AM-12PM
A0299729B,THU 12PM-1PM
A0299743J,THU 9AM-10AM
A0299761J,THU 4PM-5PM
A0299762H,THU 10AM-11AM
A0299768W,THU 9AM-10AM
A0299771H,THU 9AM-10AM
A0299791A,THU 2PM-3PM
A0299806J,THU 10AM-11AM
A0299817E,FRI 10AM-11AM
A0299828B,THU 2PM-3PM
A0299829Y,THU 11AM-12PM
A0299832L,THU 9AM-10AM
A0299837B,THU 9AM-10AM
A0299840M,THU 12PM-1PM
A0299844E,THU 3PM-4PM
A0299870H,THU 12PM-1PM
A0299876W,FRI 9AM-10AM
A0299890A,THU 2PM-3PM
A0299905J,THU 12PM-1PM
A0299935A,THU 10AM-11AM
A0299936B,THU 1PM-2PM
A0299940L,THU 9AM-10AM
A0299942H,THU 11AM-12PM
A0299948W,THU 2PM-3PM
A0299951H,THU 11AM-12PM
A0299959R,THU 12PM-1PM
A0300007E,THU 10AM-11AM
A0300020N,THU 3PM-4PM
A0300021M,THU 1PM-2PM
A0300025E,THU 5PM-6PM
A0300034E,THU 2PM-3PM
A0300037Y,THU 1PM-2PM
A0300049U,THU 10AM-11AM
A0300057W,THU 3PM-4PM
A0300064Y,FRI 10AM-11AM
A0300066W,FRI 1PM-2PM
A0300075W,FRI 11AM-12PM
A0300089L,THU 11AM-12PM
A0300095R,FRI 10AM-11AM
A0300102M,THU 9AM-10AM
A0300133E,FRI 2PM-3PM
A0300145Y,THU 9AM-10AM
A0300154Y,FRI 3PM-4PM
A0300163Y,THU 10AM-11AM
A0300190Y,FRI 1PM-2PM
A0300192W,FRI 9AM-10AM
A0300217Y,THU 2PM-3PM
A0300221J,THU 4PM-5PM
A0300224A,THU 4PM-5PM
A0300252B,THU 4PM-5PM
A0300263X,THU 4PM-5PM
A0300272X,THU 1PM-2PM
A0300281X,FRI 1PM-2PM
A0300292U,FRI 10AM-11AM
A0300295M,FRI 12PM-1PM
A0300303H,THU 5PM-6PM
A0300322E,THU 3PM-4PM
A0300325Y,FRI 2PM-3PM
A0300332A,FRI 11AM-12PM
A0300364U,THU 2PM-3PM
A0300366N,THU 5PM-6PM
A0300397H,THU 3PM-4PM
A0300401J,FRI 3PM-4PM
A0300413A,FRI 12PM-1PM
A0300417W,THU 1PM-2PM
A0300426W,THU 11AM-12PM
A0300459J,THU 9AM-10AM
A0300506X,THU 12PM-1PM
A0300518R,THU 11AM-12PM
A0300528N,THU 3PM-4PM
A0300540B,THU 11AM-12PM
A0300544U,FRI 11AM-12PM
A0300596E,FRI 11AM-12PM
A0300641X,THU 4PM-5PM
A0300644R,THU 2PM-3PM
A0300652U,FRI 10AM-11AM
A0300661U,THU 1PM-2PM
A0300687A,THU 12PM-1PM
A0300696A,THU 4PM-5PM
A0300705W,THU 11AM-12PM
A0300711B,THU 2PM-3PM
A0300712Y,THU 2PM-3PM
A0300726N,FRI 9AM-10AM
A0300743R,THU 10AM-11AM
A0300755L,THU 10AM-11AM
A0300761R,THU 4PM-5PM
A0300786A,THU 10AM-11AM
A0300791L,THU 4PM-5PM
A0300799W,THU 3PM-4PM
A0300816N,FRI 2PM-3PM
A0300850U,THU 9AM-10AM
A0300858A,THU 9AM-10AM
A0300891J,THU 3PM-4PM
A0300960N,THU 9AM-10AM
A0301004J,THU 1PM-2PM
A0301021L,THU 1PM-2PM
A0301033E,THU 4PM-5PM
A0301047W,THU 3PM-4PM
A0301063Y,FRI 3PM-4PM
A0301066U,THU 10AM-11AM
A0301076R,THU 2PM-3PM
A0301095N,THU 12PM-1PM
A0301102L,THU 1PM-2PM
A0301126Y,THU 11AM-12PM
A0301145X,THU 10AM-11AM
A0301185N,THU 11AM-12PM
A0301193R,FRI 9AM-10AM
A0301200M,FRI 2PM-3PM
A0301205A,THU 12PM-1PM
A0301207Y,THU 2PM-3PM
A0301219U,THU 12PM-1PM
A0301239N,THU 12PM-1PM
A0301344W,THU 9AM-10AM
A0301385L,THU 12PM-1PM
A0301419N,FRI 9AM-10AM
A0301430A,FRI 1PM-2PM
A0301436R,FRI 11AM-12PM
A0301463R,THU 11AM-12PM
A0301473N,FRI 12PM-1PM
A0301480U,THU 5PM-6PM
A0301493L,FRI 1PM-2PM
A0301497A,THU 3PM-4PM
A0301501E,THU 1PM-2PM
A0301510E,THU 10AM-11AM
A0301513Y,FRI 2PM-3PM
A0301529L,FRI 1PM-2PM
A0301555M,THU 5PM-6PM
A0301562R,THU 9AM-10AM
A0301571R,THU 5PM-6PM
A0301575J,THU 2PM-3PM
A0301590N,FRI 2PM-3PM
A0301596A,THU 4PM-5PM
A0301644N,THU 12PM-1PM
A0301651U,THU 10AM-11AM
A0301816M,THU 2PM-3PM
A0301895Y,FRI 2PM-3PM
A0301907L,FRI 2PM-3PM
A0301999N,THU 3PM-4PM
A0302023E,FRI 9AM-10AM
A0302035Y,THU 2PM-3PM
A0302149M,THU 2PM-3PM
A0302216X,THU 5PM-6PM
A0302276L,THU 12PM-1PM
A0302442W,THU 2PM-3PM
A0302571N,THU 1PM-2PM
A0302574J,THU 11AM-12PM
A0302579Y,THU 5PM-6PM
A0302600A,THU 2PM-3PM
A0302608M,FRI 12PM-1PM
A0302611Y,THU 12PM-1PM
A0302612X,THU 4PM-5PM
A0302619J,FRI 3PM-4PM
A0302630X,THU 1PM-2PM
A0302631W,THU 1PM-2PM
A0302632U,FRI 10AM-11AM
A0302635M,THU 12PM-1PM
A0302638H,THU 12PM-1PM
A0302641U,FRI 3PM-4PM
A0302642R,FRI 12PM-1PM
A0302648E,FRI 12PM-1PM
A0302651R,THU 11AM-12PM
A0302662M,THU 10AM-11AM
A0302673J,THU 1PM-2PM
A0302687Y,THU 9AM-10AM
A0302794B,FRI 10AM-11AM
A0302802W,FRI 10AM-11AM
A0302803U,THU 3PM-4PM
A0302804R,FRI 9AM-10AM
A0302810X,FRI 2PM-3PM
A0302814N,THU 9AM-10AM
A0302897U,THU 3PM-4PM
A0302899N,THU 1PM-2PM
A0302905M,THU 4PM-5PM
A0302913N,FRI 11AM-12PM
A0302919A,THU 5PM-6PM
A0302927E,THU 5PM-6PM
A0302935H,THU 11AM-12PM
A0302939Y,THU 5PM-6PM
A0302968W,THU 9AM-10AM
A0302976X,THU 12PM-1PM
A0302983B,THU 10AM-11AM
A0302987U,FRI 1PM-2PM
A0303012H,THU 4PM-5PM
A0303014A,THU 3PM-4PM
A0303017X,FRI 12PM-1PM
A0303028U,THU 5PM-6PM
A0303035X,THU 12PM-1PM
A0303043Y,THU 2PM-3PM
A0303044X,FRI 12PM-1PM
A0303046U,THU 10AM-11AM
A0303065R,THU 10AM-11AM
A0303072W,THU 2PM-3PM
A0303083R,THU 11AM-12PM
A0303148M,FRI 2PM-3PM
A0303149L,THU 1PM-2PM
A0303153W,THU 3PM-4PM
A0303162W,THU 12PM-1PM
A0303210H,THU 9AM-10AM
A0303223Y,THU 9AM-10AM
A0303232Y,THU 3PM-4PM
A0303234W,THU 10AM-11AM
A0303242X,FRI 10AM-11AM
A0303243W,THU 5PM-6PM
A0303255N,THU 2PM-3PM
A0303267J,THU 10AM-11AM
A0303301E,FRI 11AM-12PM
A0305508J,FRI 11AM-12PM
A0305533M,THU 9AM-10AM
A0305552L,THU 11AM-12PM
A0305554H,FRI 2PM-3PM
A0305574A,FRI 2PM-3PM
A0305576Y,THU 9AM-10AM
A0305577X,FRI 10AM-11AM
A0305582E,FRI 12PM-1PM
A0305588U,THU 12PM-1PM
A0305592A,FRI 3PM-4PM
A0305606L,FRI 9AM-10AM
A0305613N,FRI 9AM-10AM
A0305622N,FRI 12PM-1PM
A0305633L,FRI 3PM-4PM
A0305648Y,THU 3PM-4PM
A0305652J,THU 11AM-12PM
A0305666Y,FRI 3PM-4PM
A0305667X,THU 2PM-3PM
A0305674B,THU 11AM-12PM
A0305688R,THU 11AM-12PM
A0305690E,THU 5PM-6PM
A0305701U,FRI 9AM-10AM
A0305725H,THU 12PM-1PM
A0305728B,THU 1PM-2PM
A0305745A,FRI 12PM-1PM
A0305749W,THU 10AM-11AM
A0305756Y,THU 9AM-10AM
A0305759U,THU 2PM-3PM
A0305763A,THU 10AM-11AM
A0305772A,THU 12PM-1PM
A0305780E,THU 12PM-1PM
A0305789M,FRI 3PM-4PM
A0305790A,THU 3PM-4PM
A0305793X,THU 2PM-3PM
A0305796R,THU 1PM-2PM
A0305804L,FRI 11AM-12PM
A0305806H,FRI 9AM-10AM
A0305807E,FRI 11AM-12PM
A0305811N,THU 1PM-2PM
A0305822L,THU 9AM-10AM
A0305826A,THU 1PM-2PM
A0305827B,THU 9AM-10AM
A0305840L,THU 3PM-4PM
A0305841J,THU 2PM-3PM
A0305847X,THU 3PM-4PM
A0305849U,THU 10AM-11AM
A0305857W,THU 9AM-10AM
A0305867U,FRI 10AM-11AM
A0305891Y,THU 9AM-10AM
A0305892X,FRI 2PM-3PM
A0305896N,THU 12PM-1PM
A0305932H,THU 10AM-11AM
A0305933E,THU 9AM-10AM
A0305949R,THU 1PM-2PM
A0305963Y,FRI 11AM-12PM
A0305969M,THU 10AM-11AM
A0305985R,FRI 12PM-1PM
A0305989J,THU 3PM-4PM
A0305992W,THU 11AM-12PM
A0306202Y,THU 2PM-3PM
A0306205U,THU 3PM-4PM
A0306734E,FRI 11AM-12PM
A0306736B,THU 10AM-11AM
A0306741J,FRI 9AM-10AM
A0306743E,FRI 2PM-3PM
A0306753A,THU 12PM-1PM
A0306756X,THU 1PM-2PM
A0306762A,THU 4PM-5PM
A0306765X,FRI 1PM-2PM
A0306785U,THU 10AM-11AM
A0306790B,THU 9AM-10AM
A0306812L,THU 11AM-12PM
A0306814H,FRI 1PM-2PM
A0306816A,THU 1PM-2PM
A0306823H,THU 3PM-4PM
A0306831J,FRI 1PM-2PM
A0306832H,THU 10AM-11AM
A0306842E,THU 9AM-10AM
A0306845Y,THU 12PM-1PM
A0306850H,THU 12PM-1PM
A0306858R,THU 3PM-4PM
A0306868N,THU 2PM-3PM
A0306874W,THU 9AM-10AM
A0306884U,THU 10AM-11AM
A0306889J,THU 10AM-11AM
A0306929U,THU 11AM-12PM
A0306930J,THU 12PM-1PM
A0306942A,FRI 9AM-10AM
A0306943B,THU 1PM-2PM
A0306953Y,THU 2PM-3PM
A0306955W,THU 3PM-4PM
A0307052R,FRI 9AM-10AM
A0307067E,THU 3PM-4PM
A0307072M,THU 4PM-5PM
A0307089X,THU 2PM-3PM
A0307092J,FRI 2PM-3PM
A0307136L,THU 2PM-3PM
A0307142R,THU 12PM-1PM
A0307349Y,THU 4PM-5PM
A0307352L,THU 9AM-10AM
