Matric,Timeslot
A0307356A,FRI 2PM-3PM
A0307359X,FRI 1PM-2PM
A0307362J,FRI 9AM-10AM
A0307366B,THU 2PM-3PM
A0307367Y,FRI 12PM-1PM
A0307371J,FRI 12PM-1PM
A0307377X,FRI 11AM-12PM
A0307379U,THU 1PM-2PM
A0307380J,THU 4PM-5PM
A0307382E,THU 3PM-4PM
A0307383A,FRI 12PM-1PM
A0307390H,THU 1PM-2PM
A0307394Y,THU 3PM-4PM
A0307406L,THU 5PM-6PM
A0307417H,FRI 12PM-1PM
A0307423M,FRI 10AM-11AM
A0307427E,THU 3PM-4PM
A0307428A,FRI 10AM-11AM
A0307430R,THU 12PM-1PM
A0307439Y,FRI 1PM-2PM
A0307455A,THU 10AM-11AM
A0307458X,THU 1PM-2PM
A0307464A,FRI 1PM-2PM
A0307471H,FRI 9AM-10AM
A0307487U,THU 12PM-1PM
A0307493Y,THU 3PM-4PM
A0307507H,THU 4PM-5PM
A0307516H,THU 3PM-4PM
A0307520R,THU 12PM-1PM
A0307525H,THU 10AM-11AM
A0307527A,THU 11AM-12PM
A0307533J,FRI 2PM-3PM
A0307571E,THU 3PM-4PM
A0307574Y,THU 1PM-2PM
A0307578R,THU 4PM-5PM
A0307581A,FRI 11AM-12PM
A0307588N,FRI 2PM-3PM
A0307591B,THU 11AM-12PM
A0307602N,THU 4PM-5PM
A0307606H,THU 2PM-3PM
A0307620N,FRI 12PM-1PM
A0307625E,THU 3PM-4PM
A0307628Y,THU 1PM-2PM
A0307630M,THU 4PM-5PM
A0307655Y,THU 1PM-2PM
A0307667U,THU 12PM-1PM
A0307671A,THU 10AM-11AM
A0307674X,THU 5PM-6PM
A0307678N,THU 3PM-4PM
A0307689L,THU 11AM-12PM
A0307692X,FRI 9AM-10AM
A0307707A,FRI 3PM-4PM
A0307709Y,FRI 11AM-12PM
A0307719X,THU 2PM-3PM
A0307721L,THU 11AM-12PM
A0307722J,FRI 1PM-2PM
A0307723H,THU 12PM-1PM
A0307724E,THU 10AM-11AM
A0307736Y,THU 11AM-12PM
A0307754Y,THU 3PM-4PM
A0307760E,THU 11AM-12PM
A0307767R,THU 4PM-5PM
A0307772Y,THU 3PM-4PM
A0307788L,THU 10AM-11AM
A0307797L,FRI 10AM-11AM
A0307799H,FRI 2PM-3PM
A0307803J,FRI 10AM-11AM
A0307809X,THU 9AM-10AM
A0307810M,THU 3PM-4PM
A0307813H,FRI 10AM-11AM
A0307817Y,FRI 10AM-11AM
A0307819W,THU 11AM-12PM
A0307821J,THU 11AM-12PM
A0307826Y,THU 11AM-12PM
A0307853Y,THU 10AM-11AM
A0307856U,FRI 9AM-10AM
A0307863X,THU 12PM-1PM
A0307864W,FRI 11AM-12PM
A0307869L,THU 9AM-10AM
A0307870B,THU 12PM-1PM
A0307871Y,FRI 12PM-1PM
A0307874U,THU 12PM-1PM
A0307885N,FRI 10AM-11AM
A0307889H,THU 10AM-11AM
A0307897J,THU 2PM-3PM
A0307910L,THU 1PM-2PM
A0307912H,THU 1PM-2PM
A0307915B,FRI 9AM-10AM
A0307917X,FRI 12PM-1PM
A0307920J,FRI 11AM-12PM
A0307922E,FRI 11AM-12PM
A0307923A,FRI 9AM-10AM
A0307927W,FRI 11AM-12PM
A0307929R,THU 1PM-2PM
A0307933B,THU 5PM-6PM
A0307947R,THU 3PM-4PM
A0307949M,THU 11AM-12PM
A0307954W,THU 1PM-2PM
A0307958M,FRI 12PM-1PM
A0307960B,THU 1PM-2PM
A0307966N,THU 1PM-2PM
A0307970Y,THU 10AM-11AM
A0307971X,THU 1PM-2PM
A0307974R,THU 12PM-1PM
A0307978J,THU 11AM-12PM
A0307986L,THU 5PM-6PM
A0307988H,THU 2PM-3PM
A0307992R,THU 12PM-1PM
A0307998E,FRI 10AM-11AM
A0308012X,THU 9AM-10AM
A0308021X,THU 1PM-2PM
A0308026M,THU 4PM-5PM
A0308045L,THU 1PM-2PM
A0308047H,THU 9AM-10AM
A0308051R,FRI 9AM-10AM
A0308052N,FRI 1PM-2PM
A0308053M,THU 1PM-2PM
A0308066E,THU 11AM-12PM
A0308067A,THU 3PM-4PM
A0308068B,THU 5PM-6PM
A0308072L,FRI 12PM-1PM
A0308087Y,THU 2PM-3PM
A0308109J,THU 9AM-10AM
A0308114R,THU 1PM-2PM
A0308129E,THU 3PM-4PM
A0308139A,FRI 11AM-12PM
A0308142N,FRI 1PM-2PM
A0308144L,FRI 3PM-4PM
A0308147E,THU 11AM-12PM
A0308148A,THU 9AM-10AM
A0308150R,FRI 3PM-4PM
A0308151N,FRI 11AM-12PM
A0308152M,THU 2PM-3PM
A0308153L,THU 9AM-10AM
A0308154J,THU 11AM-12PM
A0308165E,THU 9AM-10AM
A0308171L,FRI 2PM-3PM
A0308173H,FRI 11AM-12PM
A0308182H,THU 10AM-11AM
A0308183E,THU 4PM-5PM
A0308197W,THU 9AM-10AM
A0308199R,THU 1PM-2PM
A0308200Y,THU 3PM-4PM
A0308203U,THU 11AM-12PM
A0308206M,FRI 1PM-2PM
A0308209H,THU 3PM-4PM
A0308216L,THU 11AM-12PM
A0308220W,FRI 3PM-4PM
A0308224M,THU 3PM-4PM
A0308225L,THU 12PM-1PM
A0308231R,THU 10AM-11AM
A0308246E,THU 10AM-11AM
A0308249Y,THU 2PM-3PM
A0308251M,THU 10AM-11AM
A0308256A,THU 5PM-6PM
A0308283A,THU 3PM-4PM
A0308300X,FRI 12PM-1PM
A0308305M,THU 1PM-2PM
A0308312R,THU 1PM-2PM
A0308331N,FRI 10AM-11AM
A0308345E,FRI 12PM-1PM
A0308351L,THU 12PM-1PM
A0308356B,FRI 12PM-1PM
A0308357Y,THU 12PM-1PM
A0308370J,THU 1PM-2PM
A0308375Y,THU 2PM-3PM
A0308376X,THU 11AM-12PM
A0308380H,THU 2PM-3PM
A0308382A,THU 3PM-4PM
A0308383B,FRI 1PM-2PM
A0308393Y,THU 11AM-12PM
A0308401U,THU 12PM-1PM
A0308411R,THU 12PM-1PM
A0308434H,FRI 11AM-12PM
A0308436A,FRI 11AM-12PM
A0308445A,THU 10AM-11AM
A0308467W,THU 12PM-1PM
A0308469R,THU 11AM-12PM
A0308506H,FRI 10AM-11AM
A0308572B,THU 3PM-4PM
A0308590B,THU 11AM-12PM
A0308595R,FRI 9AM-10AM
A0308630L,THU 3PM-4PM
A0308645Y,THU 10AM-11AM
A0308652A,THU 5PM-6PM
A0308656W,THU 9AM-10AM
A0308658R,THU 1PM-2PM
A0308675U,THU 9AM-10AM
A0308679L,THU 3PM-4PM
A0308685R,FRI 2PM-3PM
A0308689J,THU 1PM-2PM
A0308691X,FRI 9AM-10AM
A0308700N,FRI 1PM-2PM
A0308701M,THU 3PM-4PM
A0308702L,THU 5PM-6PM
A0308704H,FRI 3PM-4PM
A0308705E,FRI 9AM-10AM
A0308707B,THU 5PM-6PM
A0308709X,THU 2PM-3PM
A0308715A,THU 2PM-3PM
A0308718X,THU 2PM-3PM
A0308720L,THU 1PM-2PM
A0308730J,THU 4PM-5PM
A0308732E,THU 12PM-1PM
A0308739R,THU 1PM-2PM
A0308755W,THU 12PM-1PM
A0308766R,FRI 10AM-11AM
A0308776N,THU 3PM-4PM
A0308779J,FRI 10AM-11AM
A0308780Y,THU 11AM-12PM
A0308784R,FRI 11AM-12PM
A0308785N,THU 10AM-11AM
A0308786M,THU 3PM-4PM
A0308788J,THU 12PM-1PM
A0308789H,THU 12PM-1PM
A0308797J,THU 11AM-12PM
A0308798H,THU 3PM-4PM
A0308802J,THU 12PM-1PM
A0308806B,FRI 3PM-4PM
A0308809W,THU 11AM-12PM
A0308811J,THU 9AM-10AM
A0308868L,THU 10AM-11AM
A0308869J,THU 11AM-12PM
A0308871X,THU 11AM-12PM
A0308873U,THU 3PM-4PM
A0308875N,THU 3PM-4PM
A0308881W,FRI 2PM-3PM
A0308884N,THU 3PM-4PM
A0308893N,THU 9AM-10AM
A0308897H,THU 5PM-6PM
A0308898E,THU 10AM-11AM
A0308900L,THU 1PM-2PM
A0308914B,THU 9AM-10AM
A0308917W,THU 2PM-3PM
A0308918U,THU 9AM-10AM
A0308923B,THU 10AM-11AM
A0308924Y,THU 10AM-11AM
A0308925X,THU 5PM-6PM
A0308941B,THU 10AM-11AM
A0308952X,FRI 3PM-4PM
A0308960Y,FRI 3PM-4PM
A0308962W,THU 4PM-5PM
A0308968J,THU 2PM-3PM
A0308969H,FRI 2PM-3PM
A0308974N,THU 1PM-2PM
A0308976L,THU 2PM-3PM
A0308977J,THU 12PM-1PM
A0308983N,FRI 1PM-2PM
A0308985L,THU 10AM-11AM
A0308995J,THU 2PM-3PM
A0308999B,FRI 3PM-4PM
A0309000B,FRI 3PM-4PM
A0309004U,FRI 9AM-10AM
A0309005R,THU 10AM-11AM
A0309012W,FRI 11AM-12PM
A0309018J,THU 3PM-4PM
A0309021W,FRI 10AM-11AM
A0309022U,THU 5PM-6PM
A0309043M,THU 12PM-1PM
A0309044L,THU 5PM-6PM
A0309048A,THU 3PM-4PM
A0309067B,FRI 2PM-3PM
A0309068Y,THU 3PM-4PM
A0309070M,FRI 1PM-2PM
A0309076B,THU 1PM-2PM
A0309077Y,THU 11AM-12PM
A0309080L,THU 2PM-3PM
A0309081J,THU 9AM-10AM
A0309082H,FRI 3PM-4PM
A0309085B,THU 10AM-11AM
A0309086Y,THU 1PM-2PM
A0309092E,FRI 10AM-11AM
A0309093A,THU 3PM-4PM
A0309094B,FRI 3PM-4PM
A0309103U,FRI 3PM-4PM
A0309104R,FRI 2PM-3PM
A0309108J,THU 9AM-10AM
A0309115M,THU 5PM-6PM
A0309116L,THU 10AM-11AM
A0309122R,THU 11AM-12PM
A0309127H,FRI 3PM-4PM
A0309138A,THU 2PM-3PM
A0309143L,THU 9AM-10AM
A0309145H,THU 2PM-3PM
A0309146E,THU 2PM-3PM
A0309147A,THU 10AM-11AM
A0309148B,THU 12PM-1PM
A0309152L,THU 11AM-12PM
A0309153J,THU 11AM-12PM
A0309154H,THU 3PM-4PM
A0309160M,THU 5PM-6PM
A0309161L,THU 10AM-11AM
A0309162J,FRI 2PM-3PM
A0309166B,THU 9AM-10AM
A0309172H,THU 2PM-3PM
A0309173E,THU 3PM-4PM
A0309174A,THU 3PM-4PM
A0309175B,FRI 10AM-11AM
A0309176Y,THU 5PM-6PM
A0309182E,THU 2PM-3PM
A0309206L,FRI 3PM-4PM
A0309207J,THU 10AM-11AM
A0309209E,FRI 12PM-1PM
A0309210W,THU 4PM-5PM
A0309212R,FRI 2PM-3PM
A0309214M,THU 1PM-2PM
A0309215L,THU 11AM-12PM
A0309219A,FRI 9AM-10AM
A0309225J,THU 12PM-1PM
A0309229B,FRI 1PM-2PM
A0309230R,FRI 3PM-4PM
A0309236E,THU 10AM-11AM
A0309241M,THU 12PM-1PM
A0309246A,FRI 2PM-3PM
A0309247B,THU 1PM-2PM
A0309249X,THU 11AM-12PM
A0309250M,THU 4PM-5PM
A0309260L,THU 11AM-12PM
A0309277W,FRI 11AM-12PM
A0309282A,THU 5PM-6PM
A0309291A,THU 10AM-11AM
A0309313M,THU 1PM-2PM
A0309314L,FRI 12PM-1PM
A0309324J,THU 3PM-4PM
A0309330N,FRI 12PM-1PM
A0309331M,THU 3PM-4PM
A0309334H,THU 3PM-4PM
A0309342J,FRI 10AM-11AM
A0309347Y,THU 5PM-6PM
A0309349W,THU 11AM-12PM
A0309353E,THU 9AM-10AM
A0309356Y,THU 9AM-10AM
A0309359U,FRI 3PM-4PM
A0309476U,THU 5PM-6PM
A0309552A,THU 12PM-1PM
A0309582X,FRI 12PM-1PM
A0309595N,THU 12PM-1PM
A0310212H,FRI 9AM-10AM
A0310258M,THU 10AM-11AM
A0310264U,THU 2PM-3PM
A0310290W,FRI 2PM-3PM
A0310318U,THU 11AM-12PM
A0310324Y,FRI 11AM-12PM
A0310325X,THU 9AM-10AM
A0310470W,THU 12PM-1PM
A0310585H,THU 1PM-2PM
A0310592L,FRI 3PM-4PM
A0310618M,THU 1PM-2PM
A0310628L,FRI 10AM-11AM
A0310630Y,FRI 10AM-11AM
A0310655L,FRI 9AM-10AM
A0310918H,THU 11AM-12PM
A0310920W,THU 11AM-12PM
A0310921U,THU 11AM-12PM
A0311086M,THU 12PM-1PM
A0311096L,THU 4PM-5PM
A0311112H,THU 9AM-10AM
A0311120J,FRI 1PM-2PM
A0311123A,THU 1PM-2PM
A0311136W,THU 5PM-6PM
A0311151B,FRI 10AM-11AM
A0311168L,THU 12PM-1PM
A0311657E,THU 9AM-10AM
A0311660R,THU 1PM-2PM
A0311666E,FRI 9AM-10AM
A0311686B,THU 9AM-10AM
A0311688X,FRI 2PM-3PM
A0311699U,FRI 12PM-1PM
A0311766A,FRI 9AM-10AM
A0311767B,FRI 3PM-4PM
A0311768Y,FRI 9AM-10AM
A0311769X,THU 12PM-1PM
A0311770M,FRI 1PM-2PM
A0311771L,THU 9AM-10AM
A0311772J,THU 2PM-3PM
A0311774E,THU 2PM-3PM
A0311775A,FRI 1PM-2PM
A0311777Y,FRI 9AM-10AM
A0311780L,THU 9AM-10AM
A0311782H,FRI 10AM-11AM
A0311788W,THU 1PM-2PM
A0311795Y,THU 4PM-5PM
A0311800Y,FRI 3PM-4PM
A0311870L,THU 9AM-10AM
A0311874A,THU 10AM-11AM
A0311876Y,THU 4PM-5PM
A0311877X,FRI 11AM-12PM
A0311887W,THU 10AM-11AM
A0311889R,THU 11AM-12PM
A0311890H,FRI 1PM-2PM
A0311892A,THU 12PM-1PM
A0311921R,THU 10AM-11AM
A0312021H,FRI 3PM-4PM
A0312024B,THU 5PM-6PM
A0312063W,THU 2PM-3PM
A0312075N,FRI 1PM-2PM
A0312101J,THU 11AM-12PM
A0312130E,THU 1PM-2PM
A0312147N,THU 9AM-10AM
A0312213B,FRI 3PM-4PM
A0312269E,FRI 12PM-1PM
A0312292M,THU 11AM-12PM
A0312333W,THU 9AM-10AM
